totalsum,number_stops,Max_to_depot,Min_to_depot,vehicle_cap,greedy_total_sum,real_km_order,chosen_company,chosen_candidate
3349.9373,29,202.2859,18.5871,19,18228.0141,42.42368928571428,Visionary Solutions,Innovative Corporation
5201.611200000001,42,205.54670000000002,18.860599999999998,17,56010.0527,52.1095268292683,Innovative Corporation,Global Industries
3370.2407000000003,27,191.26139999999998,31.0445,16,17186.6424,51.66708846153846,Green Networks,Innovative Consulting
3812.1133999999997,33,181.1997,12.0148,8,27702.416100000002,53.213921875,Global Networks,Visionary Networks
5554.3767,43,222.8271,19.1873,14,66088.4633,55.99750476190476,Visionary Consulting,Global Industries
1394.2747000000002,15,141.4038,6.029,14,5205.532300000001,60.66659285714286,Global Group,Global Partners
6025.480299999998,45,205.54670000000002,20.3042,6,64402.119999999995,81.09656136363635,Global Industries,Innovative Ventures
1188.9299,14,128.9165,11.5065,9,4700.6075,63.993615384615396,Global Enterprises,Pioneer Group
5412.790799999999,36,231.68210000000002,19.201700000000002,17,46320.33240000001,55.533925714285715,Modern Technologies,Pioneer Partners
3726.6288999999997,28,205.54670000000002,22.8515,7,20849.6334,88.97645925925926,Elite Industries,Global Industries
4124.5871,28,206.5204,26.6365,10,21562.3546,71.27647407407407,Elite Industries,Elite Consulting
4639.1262,45,199.90210000000002,18.860599999999998,14,54430.0209,39.161877272727274,Innovative Corporation,Swift Partners
4950.9017,37,200.9482,9.097700000000001,16,42432.907400000004,43.557944444444445,Swift Corporation,Modern Partners
4279.031,26,231.68210000000002,19.201700000000002,18,22214.9216,65.83221999999999,Modern Industries,Pioneer Partners
1493.3712,12,202.2859,18.5871,12,4536.7627,73.66559999999998,Visionary Solutions,NextGen Networks
1677.0273,18,169.05939999999998,11.5065,10,9068.2615,61.26380588235294,Global Networks,Global Enterprises
6085.2150999999985,47,195.7226,6.0635,7,74760.7615,48.59183695652173,Innovative Industries,Innovative Ventures
2965.7827,25,200.5804,34.586,19,12618.7193,57.827225,Green Enterprises,Pioneer Ventures
3439.8641999999995,30,199.90210000000002,18.860599999999998,15,20743.3229,48.200403448275864,Elite Industries,Innovative Corporation
5420.642399999999,46,207.4666,19.6895,15,63904.413799999995,38.619388888888885,Global Consulting,Dynamic Technologies
1188.9299,14,128.9165,11.5065,9,4651.6516,63.993615384615396,Pioneer Group,Global Enterprises
3781.893799999999,33,179.3464,21.9399,14,23071.754399999998,39.18553125,Dynamic Industries,Innovative Enterprises
6012.1948,49,185.6075,23.2793,19,69524.1003,32.820247916666666,Modern Corporation,Innovative Enterprises
4783.7501,37,195.7226,6.0635,16,45460.335699999996,39.96532500000001,Swift Corporation,Innovative Industries
2486.7151,27,183.88279999999997,35.9135,5,19341.2582,57.216249999999995,Global Partners,Green Group
2690.8520000000003,22,203.0573,27.642599999999998,10,11564.3447,60.493119047619054,Dynamic Solutions,Pioneer Group
3891.0183999999995,31,203.0573,10.734,6,31147.326,64.05310333333333,Green Industries,Dynamic Solutions
3414.1013000000007,29,194.571,23.7904,15,20524.126899999996,52.144,NextGen Group,Visionary Ventures
2427.9156,20,181.12429999999998,10.734,10,10106.976999999999,59.54057368421053,Pioneer Networks,Green Industries
5265.993199999999,32,203.2633,35.768800000000006,20,39064.558899999996,51.60485806451613,Global Ventures,Pioneer Industries
5467.769100000001,42,200.9482,20.246599999999997,3,59513.8689,111.40867317073172,Pioneer Ventures,Modern Partners
3295.0045999999998,27,202.2859,18.5871,4,18728.2859,99.68315769230769,Pioneer Ventures,Visionary Solutions
4280.5307,31,218.9364,27.642599999999998,15,31236.1146,51.93932666666668,Dynamic Solutions,Dynamic Consulting
3815.3036,24,231.68210000000002,18.4984,12,15241.7093,73.72190434782608,Pioneer Partners,Modern Networks
4993.293,41,203.0573,27.642599999999998,12,47503.3441,46.1324575,Dynamic Solutions,Dynamic Networks
4937.2414,43,205.54670000000002,22.8515,7,62107.11899999999,83.12638571428572,Swift Partners,Global Industries
2870.7667999999994,25,197.49470000000002,42.6907,4,18096.485299999997,86.43078333333334,Green Technologies,Innovative Solutions
1204.3328,11,198.9304,29.4524,4,3687.0732,130.63676,Elite Ventures,Modern Solutions
4254.7579000000005,26,203.2633,35.768800000000006,8,23447.5344,78.554604,Global Networks,Global Ventures
5546.560000000001,40,205.54670000000002,21.6397,3,57191.1754,158.23464102564103,Green Ventures,Global Industries
3414.1013000000007,29,194.571,23.7904,14,20537.0001,52.18907857142857,Visionary Ventures,NextGen Group
5598.6906,42,206.223,23.2647,14,55368.7824,43.91973170731708,Modern Consulting,Dynamic Corporation
2696.1789,21,186.3852,31.343,12,10336.1295,54.687715000000004,Pioneer Industries,Pioneer Networks
4988.7614,35,191.732,21.949099999999998,15,32375.928300000003,41.8309205882353,Elite Group,Global Partners
2073.7432,21,130.8105,6.029,18,7103.5525,44.89774500000001,Global Group,NextGen Solutions
3287.2709000000004,27,198.9304,23.2647,12,14721.9211,58.304649999999995,Modern Solutions,Modern Consulting
4507.404600000001,34,199.8104,14.6228,11,38031.1559,61.50594242424243,Visionary Enterprises,Elite Solutions
2706.0436999999997,23,203.0573,27.642599999999998,10,13105.8866,58.444799999999994,NextGen Group,Dynamic Solutions
4488.0187000000005,38,199.90210000000002,14.6228,10,42461.3336,48.534832432432424,Innovative Corporation,Elite Solutions
